1	period	2	by shedding	useless tears,	useless tears.	A grave
2	period	3	admit of	no palliation,	no palliation.	You shall
3	period	6	jealously on	their guard,	their guard.	But upon
4	UNK	8	you to	him, .nd	him, and	puts a
5	UNK	8	not, ‘A	thousand sail.”	thousand sail.'	With the
6	UNK	8	day of	strife shall-be	strife shall be	thy lot
7	period	8	brought up	for examination,	for examination.	For the
8	hyphen	8	judge. Does	he poohpooh	he pooh-pooh	your efforts?
9	period	10	throws you	into ecstasies,	into ecstasies.	It is
10	UNK	10	children. The	other guests'?	other guests'	men perceive
11	UNK	11	‘So! We	are .o	are to	give place
12	period	13	matter to	his decision,	his decision.	He declines
13	space	13	are the	luckiest manin	luckiest man in	<choice><sic>Rome. Denyit</sic><corr>Rome.
14	space	13	Deny it</corr></choice>	if youcan!	if you can!	You have
15	period	13	obtain at	Fortune's hands,	Fortune's hands.	You have
16	space	14	expectations, if	we say '	we say'	— and
17	UNK	14	what are	these vexations?”	these vexations?'	you will
18	UNK	16	a very	menial! Consider;	menial! Consider:	are your
19	period	17	services in	this direction,	this direction.	On the
20	period	17	that marches	before him,	before him.	It will
21	period	17	for some	newer capture,	newer capture.	Thrust into
22	hyphen	18	you, a	poor halfchicken,	poor half-chicken,	or lean
23	hyphen	18	stealthy conveyer	of billetsdoux?	of billets-doux?	You cower
24	space	19	by recent	mourners ata	mourners at a	tomb. The
25	space	21	not it	is awet	is a wet	day. Your
26	UNK	21	throat suggested	the yulture	the vulture	rather than
27	UNK	22	timed by	a wine-	a wine —	instead of
28	UNK	23	orator, or	their Jittérateur;	their litterateur;	and give
29	hyphen	23	else at	the dinnertable.	the dinner-table.	They have
30	hyphen	24	and for	an ablebodied	an able-bodied	substitute to
31	UNK	25	a Parrhasius,	an Aetion	an Aëtion	or a
32	UNK	26	see whether	you life	you like	the idea
33	period	26	ignominiously at	the back,	the back.	And whichever
34	UNK	27	and then	forget 1t	forget it	all, get
35	h->b	27	his life	and bis	and his	treatise; the
36	UNK	27	rivers are	running up-bill;	running up-hill;	topsy-turvydom prevails;
37	UNK	28	life you	described ts	described is	now the
38	UNK	28	better; good-bye	to Ireedom;	to freedom;	your <choice><sic>motto
39	UNK	28	jackdaw strutting	in borrowed	in borrowed,	<choice><sic>plumes 3</sic><corr>plumes;</corr></choice>
40	UNK	28	Salaethus, they	will say 5	will say;	or rather
41	h->b	29	compassion and	gave bim	gave him	the alternative
42	UNK	29	on the	man tho	man who	runs into
43	UNK	29	Heracles; but	off tt,	off it,	stripped of
44	UNK	29	of a	bridal chorus 3	bridal chorus;	alas, one
45	UNK	29	and no	sooner 1s	sooner is	the lump
46	UNK	29	than the	monkey 1s	monkey is	revealed; your
47	UNK	30	left your	palate dry”	palate dry.'	You have
48	UNK	30	not had	to watt	to wait	long for
49	UNK	30	her before	you assatled	you assailed	the victims
50	h->b	30	that Aeschines,	after bis	after his	indictment of
51	UNK	30	a cough-mixture	which twas	which was	to cure
52	hyphen	30	turn craven,	face rightabout,	face right-about,	confess my
53	UNK	31	unplumbed deep	from sky-ypointing	from sky-pointing	crags, if
54	space	34	trips him	up. Iam	up. I am	in both
55	hyphen	34	choice fit	of absentmindedness,	of absent-mindedness,	Be healthy
56	period	36	include all	human blessings,	human blessings.	The Pentagram<note
57	UNK	39	I have	deliberately aabandoned	deliberately abandoned	Rejoice and
58	UNK	40	bad and	inequitable verdict.?	inequitable verdict.'	Augustus’s attendants
59	UNK	44	a soothsayer	or Chaldaean	or Chaldean	expert that
60	UNK	48	Why did	you asspme	you assume	that that
61	space	49	like Chaerephon	with arevelation	with a revelation	from Apollo?
62	UNK	51	admiration of	their Spirit	their spirit	that you
63	hyphen	53	brave, just,	and selfcontrolled,	and self-controlled,	hardly distinguishable,
64	period	53	their way	at all,	at all.	Gold, pleasures,
65	h->b	55	same assurances	about bis	about his	way, abusing
66	UNK	57	Hermotimus, who	he ts,	he is,	<choice><sic>nor be</sic><corr>nor
67	UNK	57	this  he</corr></choice>	us 3	us;	<choice><sic>you bad</sic><corr>you
68	UNK	58	hear one	party, and	party, and,	refuse the
69	period	58	appeal to	another court,	another court.	That is
70	h->b	58	an Ethiopian	who bad	who had	never been
71	h->b	58	that  abroad	in bis	in his	life, nor
72	period	58	experience of	other nations,	other nations.	Shall I
73	UNK	58	friend Hermotimus;	he bas	he has	never travelled
74	UNK	59	he accepts	our adversaries	our adversaries'	character of
75	h->b	59	him victor,	because be	because he	could not
76	UNK	59	latter ‘has	had enough?	had enough'.	Well then,
77	UNK	59	suppose from	his teachers?	his teachers'	<choice><sic>sparrings toith</sic><corr>sparrings
78	h->b	59	it; if	they bit	they hit	and get
79	UNK	59	a shout,	as 1f	as if	it were

80	UNK	59	moving too;	it 1s	it is	not to
81	UNK	60	shield of	raw bide;	raw hide;	piercing that,
82	UNK	60	that his	teachers pierce	teachers fierce	straw targets,
83	UNK	60	like that.	So Hermotimus	So Hermotinus	(Plato will
84	UNK	60	were to	put im	put him	out of
85	UNK	61	it five,	or seven;_	or seven;	or would
86	UNK	61	be five,	though ten:	though ten	thousand Platos
87	space	63	the thing	was acup.	was a cup.	And even
88	UNK	64	Heracles presided,	bay leaaves	bay leaves	—  <choice><sic>—
89	UNK	64	lot; then	another oes	another does	the same;
90	UNK	64	drawer, who	holds is	holds his	hand so
91	UNK	67	we shall	account ourselves;	account ourselves	no further
92	period	68	Epicurus and	the others,	the others.	I am
93	UNK	70	to give	up Philosophy,	up philosophy,	then, and
94	UNK	71	then the	process ofgtrial	process of trial	was found
95	period	71	and  to	be long,	be long.	What do
96	space	72	known or	seen aman?	seen a man?	Why are
97	hyphen	74	indeed: philosophers	and winemerchants	and wine-merchants	both sell
98	UNK	75	They were	not homogencous,	not homogeneous,	like the
99	UNK	76	this cask	grows No	grows no	emptier, and
100	period	77	inspection will	be useless,	be useless.	Reason insists
101	period	78	them suggest	twenty beans,	twenty beans.	What say
102	UNK	78	they get	different answers,	different answers	one Pleasure,
103	period	80	and dubious,	I mean,	I mean.	For the
104	UNK	82	basing of	hopes on;	hopes on	<choice><sic>dreamvision</sic><corr>a dream-vision</corr></choice>
105	period	82	and so	you scold,	you scold.	It is
106	UNK	82	servant with	some avennday	some every-day	question, wanting
107	UNK	82	waiting for	his rent';	his rent;	and then
108	UNK	83	libertines all,	who reck	who reek	not of
109	hyphen	83	was once	a threeheaded	a three-headed	and six-handed
110	period	84	with your	initial admissions,	initial admissions.	That is
111	UNK	84	so on	ad Iibitum.	ad libitum.	This is
112	space	85	is tantalized	by anearer	by a nearer	view. So
113	UNK	87	for philosophy	which Tlately	which I lately	heard? It
114	UNK	87	you have	got tt	got it	still; your
115	UNK	87	assault, only	Echecrates ts	Echecrates is	a poor
116	UNK	87	a couple	of bundred.	of hundred.	And the
117	h->b	87	day he	struck bis	struck his	mother; she
118	UNK	87	is now.	That 1s	That is	where I
119	UNK	87	we could	have done	have done,	<choice><sic>without bis</sic><corr>without
120	UNK	87	stuff he	reels off	reels of	at table
121	UNK	88	promised to	give tt	give it	back if
122	UNK	88	we are	with horns?	with horns	on <choice><sic>our
123	h->b	88	of all	when be	when he	stuffs <choice><sic>up
124	period	88	the reverend	philosopher's answer,	philosopher's answer.	You should
125	UNK	88	gallows. As	it 1s,	it is,	philosophy and
126	h->b	88	abstentions due	to bis	to his	respect for
127	UNK	88	your friends	who ts	who is	acquainted with
128	UNK	88	and bring	him bere	him here	to-morrow, you
129	h->b	88	for his	hitting bis	hitting his	mother or
130	UNK	89	behaviour than	the average 2?	the average?	Why this
131	UNK	89	that money	for iny	for my	own labour,
132	period	89	off to	metamorphose myself,	metamorphose myself.	When we
133	period	91	than the	Olympic winners,	Olympic winners.	There was
134	UNK	91	times the	painter Aétion	painter Aëtion	is said
135	period	92	his might	towards Roxana,	towards Roxana.	The King
136	UNK	92	for it	did Aétion's	did Aëtion's	wooing for
137	h->b	92	that of	Alexander; bis	Alexander; his	<choice><sic>groom'sman was</sic><corr>groom's-man
